行业主力净流入 TOP30 | 成交额TOP3 + 涨幅TOP5 | 北京时间 2026-07-16 11:13:12

排名  代码      名称                    涨跌幅      净流入  成交额#1                                成交额#2                                成交额#3                                涨幅#1                                涨幅#2                                涨幅#3                                涨幅#4                                涨幅#5                              
----  --------  --------------------  --------  ----------  --------------------------------------  --------------------------------------  --------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------
   1  BK1207    计算机                   1.69%    +40.07亿  紫光股份(000938) 39.08元 111.76亿       浪潮信息(000977) 86.72元 89.07亿        中科曙光(603019) 100.00元 58.66亿       紫光股份(000938) 39.08元 +9.99%       银信科技(300231) 9.98元 +9.91%        恒为科技(603496) 25.08元 +10.00%      云赛智联(600602) 18.26元 +10.00%      云创退(920305) 1.56元 +30.00%       
   2  BK1340    印制电路板               0.82%    +23.79亿  东山精密(002384) 268.10元 205.99亿      沪电股份(002463) 139.01元 71.02亿       生益科技(600183) 148.33元 68.01亿       景旺电子(603228) 72.14元 +10.00%      贤丰控股(002141) 6.17元 +9.98%        逸豪新材(301176) 58.20元 +20.00%      则成电子(920821) 21.43元 +8.89%       华正新材(603186) 180.63元 +4.39%    
   3  BK1444    IT服务Ⅲ                  2.04%    +22.25亿  紫光股份(000938) 39.08元 111.78亿       神州数码(000034) 27.56元 18.88亿        网宿科技(300017) 14.49元 16.42亿        紫光股份(000938) 39.08元 +9.99%       银信科技(300231) 9.98元 +9.91%        云创退(920305) 1.56元 +30.00%         中科创达(300496) 58.23元 +8.21%       博彦科技(002649) 8.94元 +7.97%      
   4  BK1238    IT服务Ⅱ                  2.04%    +22.25亿  紫光股份(000938) 39.08元 111.78亿       神州数码(000034) 27.56元 18.88亿        网宿科技(300017) 14.49元 16.42亿        紫光股份(000938) 39.08元 +9.99%       银信科技(300231) 9.98元 +9.91%        云创退(920305) 1.56元 +30.00%         中科创达(300496) 58.22元 +8.20%       博彦科技(002649) 8.93元 +7.85%      
   5  BK0459    元件                     0.10%    +18.90亿  东山精密(002384) 268.01元 206.08亿      沪电股份(002463) 138.94元 71.08亿       生益科技(600183) 148.33元 68.01亿       景旺电子(603228) 72.14元 +10.00%      贤丰控股(002141) 6.17元 +9.98%        逸豪新材(301176) 58.20元 +20.00%      则成电子(920821) 21.43元 +8.89%       华正新材(603186) 180.56元 +4.35%    
   6  BK1037    消费电子                 2.10%    +11.77亿  立讯精密(002475) 62.44元 58.34亿        深科技(000021) 45.61元 45.35亿          工业富联(601138) 63.77元 37.64亿        福日电子(600203) 11.92元 +9.96%       国光电器(002045) 8.34元 +10.03%       福蓉科技(603327) 8.57元 +10.01%       豪声电子(920701) 13.52元 +30.00%      格林精密(300968) 10.24元 +20.05%    
   7  BK1211    汽车                     1.08%    +10.63亿  比亚迪(002594) 93.80元 27.98亿          飞龙股份(002536) 56.04元 16.84亿        江淮汽车(600418) 23.37元 12.81亿        长源东谷(603950) 69.44元 +10.00%      天海电子(001365) 43.25元 +9.99%       圣龙股份(603178) 15.74元 +9.99%       华洋赛车(920058) 22.77元 +6.30%       雪龙集团(603949) 14.62元 +6.25%     
   8  BK0486    传媒                     2.66%    +10.43亿  巨人网络(002558) 31.09元 41.97亿        昆仑万维(300418) 49.10元 37.49亿        蓝色光标(300058) 13.22元 30.06亿        儒意电影(002739) 10.32元 +10.02%      智度股份(000676) 6.22元 +10.09%       欢瑞世纪(000892) 3.87元 +9.94%        上海电影(601595) 18.16元 +9.99%       电声股份(300805) 8.61元 +16.98%     
   9  BK1338    消费电子零部件及组装     1.89%     +9.94亿  立讯精密(002475) 62.45元 58.35亿        深科技(000021) 45.61元 45.36亿          工业富联(601138) 63.78元 37.65亿        福日电子(600203) 11.92元 +9.96%       福蓉科技(603327) 8.57元 +10.01%       豪声电子(920701) 13.52元 +30.00%      格林精密(300968) 10.24元 +20.05%      福立旺(688678) 22.85元 +13.68%      
