排名,方向,板块代码,板块名称,涨跌幅,主力净流入,超大单净额,主力净流入占比,成交额第1_代码,成交额第1_名称,成交额第1_现价,成交额第1_涨跌幅,成交额第1_成交额,成交额第2_代码,成交额第2_名称,成交额第2_现价,成交额第2_涨跌幅,成交额第2_成交额,成交额第3_代码,成交额第3_名称,成交额第3_现价,成交额第3_涨跌幅,成交额第3_成交额,涨幅第1_代码,涨幅第1_名称,涨幅第1_现价,涨幅第1_涨跌幅,涨幅第1_成交额,涨幅第2_代码,涨幅第2_名称,涨幅第2_现价,涨幅第2_涨跌幅,涨幅第2_成交额,涨幅第3_代码,涨幅第3_名称,涨幅第3_现价,涨幅第3_涨跌幅,涨幅第3_成交额,涨幅第4_代码,涨幅第4_名称,涨幅第4_现价,涨幅第4_涨跌幅,涨幅第4_成交额,涨幅第5_代码,涨幅第5_名称,涨幅第5_现价,涨幅第5_涨跌幅,涨幅第5_成交额
1,净流入,BK1207,计算机,1.50%,+24.01亿,+20.33亿,3.38%,000938,紫光股份,39.08元,+9.99%,86.89亿,000977,浪潮信息,86.33元,+1.92%,74.30亿,603019,中科曙光,99.42元,+2.75%,48.41亿,000938,紫光股份,39.08元,+9.99%,86.89亿,600602,云赛智联,18.26元,+10.00%,4.80亿,603496,恒为科技,25.08元,+10.00%,3.32亿,920305,云创退,1.56元,+30.00%,0.13亿,300231,银信科技,9.94元,+9.47%,5.02亿
2,净流入,BK1340,印制电路板,1.21%,+21.90亿,+31.55亿,3.62%,002384,东山精密,268.05元,+2.12%,177.03亿,002463,沪电股份,138.49元,+0.92%,61.66亿,600183,生益科技,149.54元,-1.90%,59.06亿,603186,华正新材,190.33元,+10.00%,17.23亿,603228,景旺电子,72.14元,+10.00%,16.24亿,002141,贤丰控股,6.17元,+9.98%,8.73亿,301176,逸豪新材,58.20元,+20.00%,4.76亿,920821,则成电子,21.10元,+7.22%,1.33亿
3,净流入,BK0459,元件,0.58%,+17.83亿,+29.38亿,2.46%,002384,东山精密,268.50元,+2.29%,177.03亿,002463,沪电股份,138.50元,+0.93%,61.70亿,600183,生益科技,149.68元,-1.80%,59.06亿,603186,华正新材,190.33元,+10.00%,17.23亿,603228,景旺电子,72.14元,+10.00%,16.24亿,002141,贤丰控股,6.17元,+9.98%,8.73亿,603989,艾华集团,38.46元,+10.01%,3.99亿,301176,逸豪新材,58.20元,+20.00%,4.76亿
4,净流入,BK1444,IT服务Ⅲ,1.77%,+15.44亿,+16.52亿,5.62%,000938,紫光股份,39.08元,+9.99%,86.90亿,000034,神州数码,27.43元,+6.52%,16.80亿,300017,网宿科技,14.37元,+0.14%,12.17亿,000938,紫光股份,39.08元,+9.99%,86.91亿,920305,云创退,1.56元,+30.00%,0.13亿,300231,银信科技,9.94元,+9.47%,5.02亿,300496,中科创达,58.24元,+8.23%,10.46亿,920227,美登科技,51.31元,+6.94%,0.28亿
5,净流入,BK1238,IT服务Ⅱ,1.77%,+15.44亿,+16.52亿,5.62%,000938,紫光股份,39.08元,+9.99%,86.91亿,000034,神州数码,27.41元,+6.45%,16.80亿,300017,网宿科技,14.36元,+0.07%,12.17亿,000938,紫光股份,39.08元,+9.99%,86.91亿,920305,云创退,1.56元,+30.00%,0.13亿,300231,银信科技,9.95元,+9.58%,5.02亿,300496,中科创达,58.24元,+8.23%,10.46亿,920227,美登科技,51.31元,+6.94%,0.28亿
6,净流入,BK1037,消费电子,2.32%,+14.83亿,+11.38亿,3.65%,002475,立讯精密,63.07元,+4.30%,50.91亿,000021,深科技,45.55元,-3.62%,39.35亿,601138,工业富联,64.11元,+0.77%,32.47亿,600203,福日电子,11.92元,+9.96%,5.46亿,002045,国光电器,8.34元,+10.03%,2.34亿,603327,福蓉科技,8.57元,+10.01%,1.55亿,920701,豪声电子,13.52元,+30.00%,0.99亿,300968,格林精密,10.24元,+20.05%,1.51亿
7,净流入,BK1338,消费电子零部件及组装,2.17%,+13.30亿,+10.09亿,3.55%,002475,立讯精密,63.07元,+4.30%,50.91亿,000021,深科技,45.55元,-3.62%,39.35亿,601138,工业富联,64.10元,+0.75%,32.48亿,600203,福日电子,11.92元,+9.96%,5.46亿,603327,福蓉科技,8.57元,+10.01%,1.55亿,920701,豪声电子,13.52元,+30.00%,0.99亿,300968,格林精密,10.24元,+20.05%,1.51亿,920876,慧为智能,18.09元,+13.56%,0.49亿
8,净流入,BK0486,传媒,2.40%,+8.37亿,+8.26亿,2.86%,002558,巨人网络,30.79元,+4.16%,35.07亿,300418,昆仑万维,49.07元,+6.42%,29.48亿,300058,蓝色光标,13.29元,+4.81%,26.49亿,002739,儒意电影,10.32元,+10.02%,7.98亿,000676,智度股份,6.22元,+10.09%,4.61亿,000892,欢瑞世纪,3.87元,+9.94%,2.68亿,300805,电声股份,8.67元,+17.80%,2.84亿,601595,上海电影,17.60元,+6.60%,1.72亿
9,净流入,BK1211,汽车,1.16%,+8.15亿,+3.84亿,2.82%,002594,比亚迪,93.36元,+1.74%,20.22亿,002536,飞龙股份,55.26元,-1.14%,14.16亿,002472,双环传动,42.44元,+0.12%,10.87亿,603950,长源东谷,69.44元,+10.00%,5.10亿,001365,天海电子,43.25元,+9.99%,4.13亿,603178,圣龙股份,15.74元,+9.99%,1.89亿,603949,雪龙集团,14.71元,+6.90%,2.38亿,600418,江淮汽车,23.96元,+6.49%,10.35亿
10,净流入,BK0735,计算机设备,1.61%,+6.69亿,+2.15亿,2.79%,000977,浪潮信息,86.38元,+1.98%,74.38亿,603019,中科曙光,99.47元,+2.80%,48.49亿,301666,大普微-UW,544.93元,+5.81%,19.34亿,603496,恒为科技,25.08元,+10.00%,3.34亿,301589,诺瓦星云,146.08元,+7.66%,0.92亿,688619,罗普特,14.19元,+7.26%,0.42亿,920090,*ST同辉,3.61元,+7.12%,0.17亿,688208,道通科技,26.36元,+6.42%,3.37亿
