行业主力净流入 TOP30 | 成交额TOP3 + 涨幅TOP5 | 20260716_104158

排名  代码      名称                    涨跌幅      净流入  成交额#1                                成交额#2                                成交额#3                                涨幅#1                                涨幅#2                                涨幅#3                                涨幅#4                                涨幅#5                              
----  --------  --------------------  --------  ----------  --------------------------------------  --------------------------------------  --------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------
   1  BK1207    计算机                   1.25%    +24.61亿  紫光股份(000938) 38.53元 102.09亿       浪潮信息(000977) 85.85元 77.19亿        中科曙光(603019) 99.10元 50.53亿        云赛智联(600602) 18.26元 +10.00%      云创退(920305) 1.56元 +30.00%         银信科技(300231) 10.03元 +10.46%      紫光股份(000938) 38.56元 +8.53%       中科创达(300496) 58.30元 +8.34%     
   2  BK1340    印制电路板               1.03%    +21.19亿  东山精密(002384) 270.74元 183.73亿      沪电股份(002463) 139.18元 64.22亿       生益科技(600183) 149.87元 60.93亿       贤丰控股(002141) 6.17元 +9.98%        逸豪新材(301176) 58.20元 +20.00%      景旺电子(603228) 71.06元 +8.36%       则成电子(920821) 21.05元 +6.96%       华正新材(603186) 184.37元 +6.55%    
   3  BK0459    元件                     0.33%    +16.80亿  东山精密(002384) 270.74元 183.79亿      沪电股份(002463) 139.18元 64.23亿       生益科技(600183) 149.97元 60.95亿       贤丰控股(002141) 6.17元 +9.98%        逸豪新材(301176) 58.20元 +20.00%      景旺电子(603228) 71.16元 +8.51%       则成电子(920821) 21.05元 +6.96%       华正新材(603186) 184.37元 +6.55%    
   4  BK1444    IT服务Ⅲ                  1.52%    +16.79亿  紫光股份(000938) 38.53元 102.32亿       神州数码(000034) 27.31元 17.31亿        网宿科技(300017) 14.31元 12.62亿        云创退(920305) 1.56元 +30.00%         银信科技(300231) 10.08元 +11.01%      紫光股份(000938) 38.53元 +8.44%       中科创达(300496) 58.31元 +8.36%       美登科技(920227) 50.98元 +6.25%     
   5  BK1238    IT服务Ⅱ                  1.52%    +16.79亿  紫光股份(000938) 38.53元 102.42亿       神州数码(000034) 27.33元 17.31亿        网宿科技(300017) 14.31元 12.62亿        云创退(920305) 1.56元 +30.00%         银信科技(300231) 10.07元 +10.90%      紫光股份(000938) 38.53元 +8.44%       中科创达(300496) 58.33元 +8.40%       美登科技(920227) 50.98元 +6.25%     
   6  BK1037    消费电子                 2.09%    +13.26亿  立讯精密(002475) 63.17元 52.34亿        深科技(000021) 45.55元 41.27亿          工业富联(601138) 64.12元 33.80亿        福日电子(600203) 11.92元 +9.96%       福立旺(688678) 22.11元 +10.00%        国光电器(002045) 8.34元 +10.03%       福蓉科技(603327) 8.57元 +10.01%       豪声电子(920701) 13.52元 +30.00%    
   7  BK1338    消费电子零部件及组装     1.94%    +11.86亿  立讯精密(002475) 63.18元 52.36亿        深科技(000021) 45.54元 41.27亿          工业富联(601138) 64.10元 33.80亿        福日电子(600203) 11.92元 +9.96%       福立旺(688678) 22.12元 +10.05%        福蓉科技(603327) 8.57元 +10.01%       豪声电子(920701) 13.52元 +30.00%      格林精密(300968) 10.24元 +20.05%    
   8  BK1211    汽车                     0.96%     +9.20亿  比亚迪(002594) 93.57元 23.16亿          飞龙股份(002536) 55.82元 14.50亿        双环传动(002472) 42.30元 11.22亿        长源东谷(603950) 69.44元 +10.00%      天海电子(001365) 43.25元 +9.99%       圣龙股份(603178) 15.74元 +9.99%       雪龙集团(603949) 14.74元 +7.12%       江淮汽车(600418) 23.80元 +5.78%     
   9  BK0486    传媒                     2.28%     +8.39亿  巨人网络(002558) 30.88元 36.23亿        昆仑万维(300418) 49.15元 31.06亿        蓝色光标(300058) 13.28元 27.48亿        儒意电影(002739) 10.32元 +10.02%      智度股份(000676) 6.22元 +10.09%       欢瑞世纪(000892) 3.87元 +9.94%        电声股份(300805) 8.63元 +17.26%       昆仑万维(300418) 49.15元 +6.59%     
  10  BK0735    计算机设备               1.28%     +6.10亿  浪潮信息(000977) 85.97元 77.29亿        中科曙光(603019) 99.20元 50.63亿        大普微-UW(301666) 544.15元 19.73亿      罗普特(688619) 14.21元 +7.41%         诺瓦星云(301589) 145.00元 +6.86%      恒为科技(603496) 24.32元 +6.67%       道通科技(688208) 26.34元 +6.34%       *ST同辉(920090) 3.58元 +6.23%       
