行业主力净流出 TOP30 | 成交额TOP3 + 涨幅TOP5 | 北京时间 2026-07-16 11:13:12

排名  代码      名称                    涨跌幅      净流入  成交额#1                                成交额#2                                成交额#3                                涨幅#1                                涨幅#2                                涨幅#3                                涨幅#4                                涨幅#5                              
----  --------  --------------------  --------  ----------  --------------------------------------  --------------------------------------  --------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------
   1  BK1201    电子                    -0.60%    -76.91亿  东山精密(002384) 267.69元 206.67亿      兆易创新(603986) 531.97元 170.61亿      通富微电(002156) 78.52元 131.15亿       盛科通信-U(688702) 387.56元 +9.95%    瑞芯微(603893) 231.55元 +10.00%       景旺电子(603228) 72.14元 +10.00%      贤丰控股(002141) 6.17元 +9.98%        福日电子(600203) 11.92元 +9.96%     
   2  BK1036    半导体                  -1.88%    -76.62亿  兆易创新(603986) 531.88元 170.63亿      通富微电(002156) 78.52元 131.15亿       澜起科技(688008) 228.66元 105.89亿      盛科通信-U(688702) 387.59元 +9.95%    瑞芯微(603893) 231.55元 +10.00%       新相微(688593) 32.10元 +8.48%         艾为电子(688798) 68.54元 +8.02%       领先股份(603991) 159.50元 +7.58%    
   3  BK0448    通信设备                -0.34%    -40.00亿  中际旭创(300308) 1121.28元 166.87亿     新易盛(300502) 538.00元 115.29亿        中兴通讯(000063) 40.31元 95.62亿        美格智能(002881) 39.05元 +10.00%      广和通(300638) 20.78元 +14.30%        共进股份(603118) 13.86元 +7.69%       利尔达(920249) 9.41元 +5.85%          锐捷网络(301165) 105.99元 +5.25%    
   4  BK1215    通信                     0.19%    -39.26亿  中际旭创(300308) 1121.50元 166.91亿     新易盛(300502) 538.42元 115.33亿        中兴通讯(000063) 40.32元 95.63亿        美格智能(002881) 39.05元 +10.00%      广和通(300638) 20.78元 +14.30%        共进股份(603118) 13.86元 +7.69%       数据港(603881) 25.54元 +6.20%         三维通信(002115) 11.07元 +6.14%     
   5  BK1591    通信网络设备及器件      -0.92%    -31.30亿  中际旭创(300308) 1121.02元 167.06亿     新易盛(300502) 537.66元 115.35亿        中兴通讯(000063) 40.32元 95.64亿        锐捷网络(301165) 105.80元 +5.06%      大富科技(300134) 7.94元 +2.32%        星网锐捷(002396) 28.15元 +2.29%       中兴通讯(000063) 40.32元 +2.21%       万马科技(300698) 25.58元 +2.20%     
   6  BK1203    非银金融                -1.08%    -28.65亿  东方财富(300059) 19.87元 26.80亿        中国平安(601318) 50.75元 23.13亿        中信证券(600030) 28.13元 22.23亿        海南华铁(603300) 4.59元 +3.38%        翠微股份(603123) 8.10元 +2.02%        新力金融(600318) 6.18元 +1.48%        国海证券(000750) 3.86元 +1.31%        锦龙股份(000712) 8.45元 +0.96%      
   7  BK1326    半导体设备              -3.03%    -23.52亿  中微公司(688012) 375.97元 57.77亿       北方华创(002371) 725.57元 48.50亿       长川科技(300604) 300.52元 43.19亿       矽电股份(301629) 326.90元 +1.84%      至纯科技(603690) 27.86元 -0.78%       微导纳米(688147) 124.56元 -1.05%      长川科技(300604) 300.51元 -1.29%      三佳科技(600520) 29.99元 -1.67%     
   8  BK1331    数字芯片设计            -0.49%    -23.03亿  兆易创新(603986) 531.50元 170.68亿      澜起科技(688008) 228.44元 105.99亿      寒武纪(688256) 1335.92元 84.55亿        瑞芯微(603893) 231.55元 +10.00%       盛科通信-U(688702) 387.00元 +9.79%    新相微(688593) 32.01元 +8.18%         乐鑫科技(688018) 123.01元 +5.22%      思特威-W(688213) 99.98元 +4.84%     
   9  BK0473    证券Ⅱ                   -1.39%    -22.43亿  东方财富(300059) 19.86元 26.81亿        中信证券(600030) 28.12元 22.23亿        华安证券(600909) 8.70元 15.54亿         国海证券(000750) 3.86元 +1.31%        锦龙股份(000712) 8.45元 +0.96%        华西证券(002926) 8.54元 +0.12%        湘财股份(600095) 7.81元 +0.00%        中泰证券(600918) 5.70元 -0.18%      
