排名,方向,板块代码,板块名称,涨跌幅,主力净流入,超大单净额,主力净流入占比,成交额第1_代码,成交额第1_名称,成交额第1_现价,成交额第1_涨跌幅,成交额第1_成交额,成交额第2_代码,成交额第2_名称,成交额第2_现价,成交额第2_涨跌幅,成交额第2_成交额,成交额第3_代码,成交额第3_名称,成交额第3_现价,成交额第3_涨跌幅,成交额第3_成交额,涨幅第1_代码,涨幅第1_名称,涨幅第1_现价,涨幅第1_涨跌幅,涨幅第1_成交额,涨幅第2_代码,涨幅第2_名称,涨幅第2_现价,涨幅第2_涨跌幅,涨幅第2_成交额,涨幅第3_代码,涨幅第3_名称,涨幅第3_现价,涨幅第3_涨跌幅,涨幅第3_成交额,涨幅第4_代码,涨幅第4_名称,涨幅第4_现价,涨幅第4_涨跌幅,涨幅第4_成交额,涨幅第5_代码,涨幅第5_名称,涨幅第5_现价,涨幅第5_涨跌幅,涨幅第5_成交额
1,净流出,BK1036,半导体,-1.86%,-69.74亿,-27.13亿,-3.38%,603986,兆易创新,529.30元,-7.43%,147.18亿,002156,通富微电,76.58元,-2.71%,107.24亿,600584,长电科技,86.30元,-6.66%,91.06亿,603893,瑞芯微,231.55元,+10.00%,32.15亿,688798,艾为电子,68.71元,+8.29%,4.12亿,688702,盛科通信-U,378.01元,+7.24%,29.99亿,688593,新相微,31.66元,+7.00%,3.84亿,688608,恒玄科技,127.58元,+5.01%,9.48亿
2,净流出,BK1201,电子,-0.46%,-61.87亿,+1.48亿,-1.65%,002384,东山精密,267.52元,+1.92%,178.41亿,603986,兆易创新,529.30元,-7.43%,147.18亿,002156,通富微电,76.58元,-2.71%,107.24亿,603893,瑞芯微,231.55元,+10.00%,32.15亿,603186,华正新材,190.33元,+10.00%,17.27亿,603228,景旺电子,72.14元,+10.00%,16.27亿,002141,贤丰控股,6.17元,+9.98%,8.73亿,600203,福日电子,11.92元,+9.96%,5.46亿
3,净流出,BK0448,通信设备,-0.26%,-28.34亿,-19.09亿,-3.56%,300308,中际旭创,1135.02元,-2.93%,128.88亿,300502,新易盛,545.80元,-1.83%,96.61亿,000063,中兴通讯,40.66元,+3.07%,82.70亿,002881,美格智能,39.05元,+10.00%,3.82亿,300638,广和通,20.63元,+13.48%,8.39亿,920249,利尔达,9.44元,+6.19%,0.68亿,603236,移远通信,53.51元,+5.48%,5.68亿,920374,云里物里,14.88元,+4.13%,0.14亿
4,净流出,BK1215,通信,0.25%,-27.51亿,-18.35亿,-3.19%,300308,中际旭创,1135.51元,-2.89%,128.93亿,300502,新易盛,545.80元,-1.83%,96.62亿,000063,中兴通讯,40.62元,+2.97%,82.73亿,002881,美格智能,39.05元,+10.00%,3.82亿,300638,广和通,20.63元,+13.48%,8.39亿,920249,利尔达,9.43元,+6.07%,0.68亿,603881,数据港,25.48元,+5.95%,9.51亿,603236,移远通信,53.61元,+5.68%,5.68亿
5,净流出,BK1203,非银金融,-0.84%,-26.47亿,-19.44亿,-11.24%,300059,东方财富,19.87元,-1.34%,23.47亿,601318,中国平安,50.79元,-0.31%,19.67亿,600030,中信证券,28.10元,-1.75%,19.57亿,603300,海南华铁,4.56元,+2.70%,1.07亿,603123,翠微股份,8.07元,+1.64%,0.50亿,000750,国海证券,3.86元,+1.31%,1.85亿,000532,华金资本,10.54元,+1.05%,0.24亿,600318,新力金融,6.15元,+0.99%,0.32亿
6,净流出,BK1331,数字芯片设计,-0.63%,-21.50亿,-11.79亿,-2.66%,603986,兆易创新,529.00元,-7.48%,147.40亿,688008,澜起科技,231.88元,-8.23%,89.56亿,688256,寒武纪,1327.76元,-1.46%,67.80亿,603893,瑞芯微,231.55元,+10.00%,32.16亿,688702,盛科通信-U,378.55元,+7.39%,30.00亿,688593,新相微,31.66元,+7.00%,3.85亿,688608,恒玄科技,127.58元,+5.01%,9.48亿,688018,乐鑫科技,121.87元,+4.24%,9.32亿
7,净流出,BK1326,半导体设备,-2.85%,-21.27亿,-7.41亿,-7.40%,688012,中微公司,376.90元,-3.68%,46.31亿,002371,北方华创,729.26元,-1.80%,39.34亿,300604,长川科技,298.50元,-1.95%,36.71亿,301629,矽电股份,334.80元,+4.30%,2.25亿,301583,C托伦斯,139.01元,-0.47%,10.24亿,688147,微导纳米,124.63元,-0.99%,4.02亿,603690,至纯科技,27.74元,-1.21%,3.67亿,002371,北方华创,729.26元,-1.80%,39.34亿
8,净流出,BK1591,通信网络设备及器件,-0.87%,-21.05亿,-13.81亿,-3.90%,300308,中际旭创,1136.19元,-2.83%,129.11亿,300502,新易盛,546.00元,-1.80%,96.69亿,000063,中兴通讯,40.60元,+2.92%,82.78亿,301165,锐捷网络,104.55元,+3.82%,16.60亿,000063,中兴通讯,40.60元,+2.92%,82.80亿,300134,大富科技,7.92元,+2.06%,0.55亿,300698,万马科技,25.48元,+1.80%,0.31亿,300098,高新兴,4.42元,+1.61%,0.72亿
9,净流出,BK1216,医药生物,1.38%,-20.33亿,-12.41亿,-1.83%,603259,药明康德,131.31元,-0.14%,56.07亿,603127,昭衍新药,55.68元,+10.00%,44.43亿,600276,恒瑞医药,57.15元,-0.61%,37.15亿,603127,昭衍新药,55.68元,+10.00%,44.43亿,600664,哈药股份,4.94元,+10.02%,14.12亿,002173,创新医疗,17.44元,+10.03%,6.89亿,002365,永安药业,13.18元,+10.02%,3.10亿,000504,南华生物,9.36元,+9.99%,2.54亿
10,净流出,BK0473,证券Ⅱ,-1.14%,-20.12亿,-15.05亿,-12.34%,300059,东方财富,19.88元,-1.29%,23.49亿,600030,中信证券,28.10元,-1.75%,19.59亿,600909,华安证券,8.71元,-8.32%,13.15亿,000750,国海证券,3.86元,+1.31%,1.85亿,000712,锦龙股份,8.41元,+0.48%,0.56亿,002926,华西证券,8.54元,+0.12%,0.78亿,600095,湘财股份,7.80元,-0.13%,1.05亿,600918,中泰证券,5.70元,-0.18%,1.56亿
