行业主力净流出 TOP30 | 成交额TOP3 + 涨幅TOP5 | 20260716_103612

排名  代码      名称                    涨跌幅      净流入  成交额#1                                成交额#2                                成交额#3                                涨幅#1                                涨幅#2                                涨幅#3                                涨幅#4                                涨幅#5                              
----  --------  --------------------  --------  ----------  --------------------------------------  --------------------------------------  --------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------  ------------------------------------
   1  BK1036    半导体                  -1.86%    -69.74亿  兆易创新(603986) 529.30元 147.18亿      通富微电(002156) 76.58元 107.24亿       长电科技(600584) 86.30元 91.06亿        瑞芯微(603893) 231.55元 +10.00%       艾为电子(688798) 68.71元 +8.29%       盛科通信-U(688702) 378.01元 +7.24%    新相微(688593) 31.66元 +7.00%         恒玄科技(688608) 127.58元 +5.01%    
   2  BK1201    电子                    -0.46%    -61.87亿  东山精密(002384) 267.52元 178.41亿      兆易创新(603986) 529.30元 147.18亿      通富微电(002156) 76.58元 107.24亿       瑞芯微(603893) 231.55元 +10.00%       华正新材(603186) 190.33元 +10.00%     景旺电子(603228) 72.14元 +10.00%      贤丰控股(002141) 6.17元 +9.98%        福日电子(600203) 11.92元 +9.96%     
   3  BK0448    通信设备                -0.26%    -28.34亿  中际旭创(300308) 1135.02元 128.88亿     新易盛(300502) 545.80元 96.61亿         中兴通讯(000063) 40.66元 82.70亿        美格智能(002881) 39.05元 +10.00%      广和通(300638) 20.63元 +13.48%        利尔达(920249) 9.44元 +6.19%          移远通信(603236) 53.51元 +5.48%       云里物里(920374) 14.88元 +4.13%     
   4  BK1215    通信                     0.25%    -27.51亿  中际旭创(300308) 1135.51元 128.93亿     新易盛(300502) 545.80元 96.62亿         中兴通讯(000063) 40.62元 82.73亿        美格智能(002881) 39.05元 +10.00%      广和通(300638) 20.63元 +13.48%        利尔达(920249) 9.43元 +6.07%          数据港(603881) 25.48元 +5.95%         移远通信(603236) 53.61元 +5.68%     
   5  BK1203    非银金融                -0.84%    -26.47亿  东方财富(300059) 19.87元 23.47亿        中国平安(601318) 50.79元 19.67亿        中信证券(600030) 28.10元 19.57亿        海南华铁(603300) 4.56元 +2.70%        翠微股份(603123) 8.07元 +1.64%        国海证券(000750) 3.86元 +1.31%        华金资本(000532) 10.54元 +1.05%       新力金融(600318) 6.15元 +0.99%      
   6  BK1331    数字芯片设计            -0.63%    -21.50亿  兆易创新(603986) 529.00元 147.40亿      澜起科技(688008) 231.88元 89.56亿       寒武纪(688256) 1327.76元 67.80亿        瑞芯微(603893) 231.55元 +10.00%       盛科通信-U(688702) 378.55元 +7.39%    新相微(688593) 31.66元 +7.00%         恒玄科技(688608) 127.58元 +5.01%      乐鑫科技(688018) 121.87元 +4.24%    
   7  BK1326    半导体设备              -2.85%    -21.27亿  中微公司(688012) 376.90元 46.31亿       北方华创(002371) 729.26元 39.34亿       长川科技(300604) 298.50元 36.71亿       矽电股份(301629) 334.80元 +4.30%      C托伦斯(301583) 139.01元 -0.47%       微导纳米(688147) 124.63元 -0.99%      至纯科技(603690) 27.74元 -1.21%       北方华创(002371) 729.26元 -1.80%    
   8  BK1591    通信网络设备及器件      -0.87%    -21.05亿  中际旭创(300308) 1136.19元 129.11亿     新易盛(300502) 546.00元 96.69亿         中兴通讯(000063) 40.60元 82.78亿        锐捷网络(301165) 104.55元 +3.82%      中兴通讯(000063) 40.60元 +2.92%       大富科技(300134) 7.92元 +2.06%        万马科技(300698) 25.48元 +1.80%       高新兴(300098) 4.42元 +1.61%        
   9  BK1216    医药生物                 1.38%    -20.33亿  药明康德(603259) 131.31元 56.07亿       昭衍新药(603127) 55.68元 44.43亿        恒瑞医药(600276) 57.15元 37.15亿        昭衍新药(603127) 55.68元 +10.00%      哈药股份(600664) 4.94元 +10.02%       创新医疗(002173) 17.44元 +10.03%      永安药业(002365) 13.18元 +10.02%      南华生物(000504) 9.36元 +9.99%      
