方向,板块排名,板块代码,板块名称,板块涨跌幅,板块主力净流入,排序口径,股票排名,股票代码,股票名称,现价,涨跌幅,成交额
净流入,1,BK1216,医药生物,3.23%,+99.81亿,成交额,1,603259,药明康德,131.50元,+3.13%,151.81亿
净流入,1,BK1216,医药生物,3.23%,+99.81亿,成交额,2,600276,恒瑞医药,57.50元,+4.89%,109.92亿
净流入,1,BK1216,医药生物,3.23%,+99.81亿,成交额,3,300759,康龙化成,40.30元,+9.13%,64.21亿
净流入,1,BK1216,医药生物,3.23%,+99.81亿,涨幅,1,002821,凯莱英,195.75元,+10.00%,42.40亿
净流入,1,BK1216,医药生物,3.23%,+99.81亿,涨幅,2,603538,美诺华,39.00元,+10.01%,38.66亿
净流入,1,BK1216,医药生物,3.23%,+99.81亿,涨幅,3,603127,昭衍新药,50.62元,+10.00%,21.91亿
净流入,2,BK0465,化学制药,3.77%,+49.38亿,成交额,1,600276,恒瑞医药,57.50元,+4.89%,109.92亿
净流入,2,BK0465,化学制药,3.77%,+49.38亿,成交额,2,002422,科伦药业,49.07元,+1.18%,42.08亿
净流入,2,BK0465,化学制药,3.77%,+49.38亿,成交额,3,603538,美诺华,39.00元,+10.01%,38.66亿
净流入,2,BK0465,化学制药,3.77%,+49.38亿,涨幅,1,603538,美诺华,39.00元,+10.01%,38.66亿
净流入,2,BK0465,化学制药,3.77%,+49.38亿,涨幅,2,000566,海南海药,5.15元,+10.04%,5.38亿
净流入,2,BK0465,化学制药,3.77%,+49.38亿,涨幅,3,600664,哈药股份,4.49元,+10.05%,4.94亿
净流入,3,BK1594,化学制剂,3.79%,+43.77亿,成交额,1,600276,恒瑞医药,57.50元,+4.89%,109.92亿
净流入,3,BK1594,化学制剂,3.79%,+43.77亿,成交额,2,002422,科伦药业,49.07元,+1.18%,42.08亿
净流入,3,BK1594,化学制剂,3.79%,+43.77亿,成交额,3,300199,翰宇药业,25.26元,+6.94%,28.36亿
净流入,3,BK1594,化学制剂,3.79%,+43.77亿,涨幅,1,000566,海南海药,5.15元,+10.04%,5.38亿
净流入,3,BK1594,化学制剂,3.79%,+43.77亿,涨幅,2,600664,哈药股份,4.49元,+10.05%,4.94亿
净流入,3,BK1594,化学制剂,3.79%,+43.77亿,涨幅,3,000908,石药景峰,7.50元,+9.97%,4.25亿
净流入,4,BK0727,医疗服务,5.44%,+35.06亿,成交额,1,603259,药明康德,131.50元,+3.13%,151.81亿
净流入,4,BK0727,医疗服务,5.44%,+35.06亿,成交额,2,300759,康龙化成,40.30元,+9.13%,64.21亿
净流入,4,BK0727,医疗服务,5.44%,+35.06亿,成交额,3,002821,凯莱英,195.75元,+10.00%,42.40亿
净流入,4,BK0727,医疗服务,5.44%,+35.06亿,涨幅,1,002821,凯莱英,195.75元,+10.00%,42.40亿
净流入,4,BK0727,医疗服务,5.44%,+35.06亿,涨幅,2,603127,昭衍新药,50.62元,+10.00%,21.91亿
净流入,4,BK0727,医疗服务,5.44%,+35.06亿,涨幅,3,301333,诺思格,58.29元,+10.00%,4.31亿
净流入,5,BK1203,非银金融,2.43%,+34.63亿,成交额,1,300059,东方财富,20.14元,+2.76%,76.60亿
净流入,5,BK1203,非银金融,2.43%,+34.63亿,成交额,2,601318,中国平安,50.95元,+2.72%,64.86亿
净流入,5,BK1203,非银金融,2.43%,+34.63亿,成交额,3,600030,中信证券,28.60元,+2.14%,53.04亿
净流入,5,BK1203,非银金融,2.43%,+34.63亿,涨幅,1,000935,四川双马,28.13元,+10.01%,3.48亿
净流入,5,BK1203,非银金融,2.43%,+34.63亿,涨幅,2,601995,中金公司,38.34元,+8.18%,29.70亿
净流入,5,BK1203,非银金融,2.43%,+34.63亿,涨幅,3,600155,华创云信,5.68元,+6.17%,3.45亿
净流入,6,BK1600,医疗研发外包,7.56%,+31.76亿,成交额,1,603259,药明康德,131.50元,+3.13%,151.81亿
净流入,6,BK1600,医疗研发外包,7.56%,+31.76亿,成交额,2,300759,康龙化成,40.30元,+9.13%,64.21亿
净流入,6,BK1600,医疗研发外包,7.56%,+31.76亿,成交额,3,002821,凯莱英,195.75元,+10.00%,42.40亿
净流入,6,BK1600,医疗研发外包,7.56%,+31.76亿,涨幅,1,002821,凯莱英,195.75元,+10.00%,42.40亿
净流入,6,BK1600,医疗研发外包,7.56%,+31.76亿,涨幅,2,603127,昭衍新药,50.62元,+10.00%,21.91亿
净流入,6,BK1600,医疗研发外包,7.56%,+31.76亿,涨幅,3,301333,诺思格,58.29元,+10.00%,4.31亿
净流入,7,BK1366,证券Ⅲ,2.37%,+29.29亿,成交额,1,300059,东方财富,20.14元,+2.76%,76.60亿
净流入,7,BK1366,证券Ⅲ,2.37%,+29.29亿,成交额,2,600030,中信证券,28.60元,+2.14%,53.04亿
净流入,7,BK1366,证券Ⅲ,2.37%,+29.29亿,成交额,3,600909,华安证券,9.50元,+3.26%,31.52亿
净流入,7,BK1366,证券Ⅲ,2.37%,+29.29亿,涨幅,1,601995,中金公司,38.34元,+8.18%,29.70亿
净流入,7,BK1366,证券Ⅲ,2.37%,+29.29亿,涨幅,2,600155,华创云信,5.68元,+6.17%,3.45亿
净流入,7,BK1366,证券Ⅲ,2.37%,+29.29亿,涨幅,3,601059,信达证券,17.23元,+4.30%,3.31亿
净流入,8,BK0473,证券Ⅱ,2.37%,+29.29亿,成交额,1,300059,东方财富,20.14元,+2.76%,76.60亿
净流入,8,BK0473,证券Ⅱ,2.37%,+29.29亿,成交额,2,600030,中信证券,28.60元,+2.14%,53.04亿
净流入,8,BK0473,证券Ⅱ,2.37%,+29.29亿,成交额,3,600909,华安证券,9.50元,+3.26%,31.52亿
净流入,8,BK0473,证券Ⅱ,2.37%,+29.29亿,涨幅,1,601995,中金公司,38.34元,+8.18%,29.70亿
净流入,8,BK0473,证券Ⅱ,2.37%,+29.29亿,涨幅,2,600155,华创云信,5.68元,+6.17%,3.45亿
净流入,8,BK0473,证券Ⅱ,2.37%,+29.29亿,涨幅,3,601059,信达证券,17.23元,+4.30%,3.31亿
净流入,9,BK0486,传媒,2.78%,+27.56亿,成交额,1,300418,昆仑万维,46.11元,+0.39%,42.86亿
净流入,9,BK0486,传媒,2.78%,+27.56亿,成交额,2,002558,巨人网络,29.56元,+10.01%,42.56亿
净流入,9,BK0486,传媒,2.78%,+27.56亿,成交额,3,300058,蓝色光标,12.68元,+2.09%,34.93亿
净流入,9,BK0486,传媒,2.78%,+27.56亿,涨幅,1,002558,巨人网络,29.56元,+10.01%,42.56亿
净流入,9,BK0486,传媒,2.78%,+27.56亿,涨幅,2,002517,恺英网络,17.18元,+9.99%,19.90亿
